gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,1,1,1,0,0,1,0,0,0,1,-1,2,-1,-1,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,40.999576449394226,2.295739727733584
6,2,1,1,1,0,1,2,2,0,2,0,-1,-1,-1,-1,0,1,1,1,1,1,0,1,-1,0,-1,-1,1,1,-1,1,-1,-1,2,-1,-1,-1,-1,-1,76.67759656906128,1.382468031157496
6,1,1,1,1,0,1,0,0,0,1,-1,-1,-1,-1,0,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,1,2,-1,-1,43.33232939243317,1.5181947595180318
6,1,1,1,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,42.509254813194275,1.5198184966555366
6,2,1,1,0,0,1,0,0,0,1,1,-1,-1,-1,-1,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,74.38328862190247,1.4082628482523498
6,1,1,1,0,0,1,0,0,0,1,-1,-1,-1,2,-1,1,1,1,1,1,1,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,40.999576449394226,2.295739727733584
6,1,1,1,0,0,0,0,1,0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,1,-1,1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,37.97968327999115,2.495166652896166
6,1,1,1,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,0,1,0,1,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,2,-1,40.81606864929199,2.3083232719393743
6,1,1,1,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,0,0,1,1,0,1,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,41.638749837875366,2.2485520529229026
6,1,1,1,0,1,1,1,0,0,0,-1,-1,2,-1,2,0,0,0,0,0,0,1,1,1,-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,39.195844531059265,2.3954703571880516
6,2,0,1,1,2,2,2,2,2,1,2,-1,0,-1,-1,0,1,1,1,1,1,1,1,0,0,-1,-1,1,1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,78.35820317268372,1.3557403438096585
6,4,0,0,2,1,0,1,2,2,1,2,1,2,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,0,2,2,0,0,141.85677766799927,1.3101403192806975
6,3,1,1,1,1,2,2,2,0,1,2,2,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,109.14241075515747,1.3244893815824668
6,1,0,1,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,39.5411878824234,2.324600017787968
6,1,0,1,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,0,-1,-1,-1,-1,1,-1,-1,0,-1,-1,2,-1,-1,-1,-1,-1,42.73812472820282,1.519041601517729
6,3,1,1,2,1,2,2,2,0,1,2,2,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,108.89763832092285,1.3246786270615911
6,1,1,1,0,0,1,0,0,0,1,1,-1,-1,-1,-1,0,1,1,1,1,1,0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,42.85809099674225,1.5188883585746673
6,1,1,1,0,0,1,0,0,1,0,-1,-1,-1,0,-1,0,0,1,1,0,1,1,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,41.87923073768616,2.2461010832780253
6,1,1,0,1,0,1,2,2,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,46.14597260951996,1.4720056812822446
